audio_path,sentence
audios/sample154.wav,"আমার ক্রেডিট কার্ড নাম্বার পাঁচ চার আট আট, সাত তিন শূন্য এক, সাত এক দুই তিন, সাত নয় আট চার"
audios/sample155.wav,"আসসালামু আলাইকুম, কেমন আছেন?"
audios/sample156.wav,আপনার ওটিপি হলো সাত আট তিন আট ছয় আট
audios/sample157.wav,"কার্ড নাম্বার হলো পাঁচ তিন পাঁচ তিন, চার শূন্য এক সাত, ছয় শূন্য এক ছয়, এক ছয় দুই ছয়"
audios/sample158.wav,মোবাইল নাম্বার শূন্য এক ছয় শূন্য সাত পাঁচ আট শূন্য শূন্য চার এক রিচার্জ করুন
audios/sample159.wav,"আমার ক্রেডিট কার্ড নাম্বার পাঁচ তিন শূন্য নয়, শূন্য চার ছয় শূন্য, ছয় তিন চার ছয়, দুই তিন শূন্য আট"
audios/sample160.wav,মোবাইল নাম্বার শূন্য এক আট চার শূন্য পাঁচ ছয় আট তিন সাত পাঁচ রিচার্জ করুন
audios/sample161.wav,মোবাইল নাম্বার শূন্য এক সাত নয় পাঁচ পাঁচ শূন্য সাত দুই তিন দুই রিচার্জ করুন
audios/sample162.wav,"আমার ক্রেডিট কার্ড নাম্বার নয় সাত চার সাত, দুই সাত দুই শূন্য, চার তিন এক পাঁচ, সাত ছয় দুই দুই"
audios/sample163.wav,দয়া করে অপেক্ষা করুন
audios/sample164.wav,আপনার বিল নাম্বার শূন্য সাত ছয় নয় সাত সাত
audios/sample165.wav,মোবাইল নাম্বার শূন্য এক পাঁচ শূন্য শূন্য তিন তিন আট দুই আট পাঁচ রিচার্জ করুন
audios/sample166.wav,আপনার ওটিপি হলো দুই চার দুই পাঁচ নয় আট
audios/sample167.wav,যোগাযোগের জন্য শূন্য এক নয় এক নয় নয় তিন নয় শূন্য শূন্য সাত ডায়াল করুন
audios/sample168.wav,মোবাইল নাম্বার শূন্য এক সাত আট সাত আট তিন ছয় ছয় আট সাত রিচার্জ করুন
audios/sample169.wav,"আমার ক্রেডিট কার্ড নাম্বার সাত পাঁচ চার শূন্য, এক দুই আট আট, ছয় তিন দুই তিন, পাঁচ শূন্য শূন্য এক"
audios/sample170.wav,"কার্ড নাম্বার হলো সাত পাঁচ চার পাঁচ, নয় ছয় চার ছয়, নয় দুই এক ছয়, দুই চার আট এক"
audios/sample171.wav,আপনার বর্তমান ব্যালেন্স পঞ্চাশ হাজার টাকা
audios/sample172.wav,"কার্ড নাম্বার হলো নয় শূন্য এক চার, চার তিন সাত পাঁচ, শূন্য নয় ছয় নয়, দুই ছয় এক আট"
audios/sample173.wav,মোবাইল নাম্বার শূন্য এক ছয় আট এক ছয় ছয় দুই সাত এক সাত রিচার্জ করুন
audios/sample174.wav,দয়া করে অপেক্ষা করুন
audios/sample175.wav,"কার্ড নাম্বার হলো নয় আট ছয় নয়, এক আট চার এক, চার দুই সাত এক, শূন্য শূন্য দুই ছয়"
audios/sample176.wav,আপনার ওটিপি হলো সাত তিন তিন দুই দুই তিন
audios/sample177.wav,আমি কি আপনাকে সাহায্য করতে পারি?
audios/sample178.wav,"আমার ক্রেডিট কার্ড নাম্বার পাঁচ পাঁচ ছয় চার, এক পাঁচ দুই শূন্য, এক আট ছয় চার, ছয় নয় সাত আট"
audios/sample179.wav,"আমার ক্রেডিট কার্ড নাম্বার শূন্য এক তিন ছয়, ছয় নয় তিন সাত, দুই দুই চার দুই, তিন সাত সাত নয়"
audios/sample180.wav,আমার ফোন নাম্বার শূন্য এক পাঁচ চার সাত তিন এক পাঁচ ছয় নয় সাত
audios/sample181.wav,"কার্ড নাম্বার হলো এক সাত দুই ছয়, চার দুই সাত ছয়, চার শূন্য শূন্য চার, ছয় শূন্য শূন্য তিন"
audios/sample182.wav,আপনার অনুরোধটি রাখা হয়েছে
audios/sample183.wav,মোবাইল নাম্বার শূন্য এক ছয় আট দুই এক শূন্য নয় শূন্য তিন এক রিচার্জ করুন
audios/sample184.wav,"কার্ড নাম্বার হলো শূন্য তিন শূন্য তিন, সাত পাঁচ ছয় শূন্য, ছয় শূন্য ছয় সাত, ছয় পাঁচ শূন্য নয়"
audios/sample185.wav,"কার্ড নাম্বার হলো দুই ছয় পাঁচ পাঁচ, দুই সাত তিন দুই, তিন আট নয় নয়, নয় এক শূন্য সাত"
audios/sample186.wav,যোগাযোগের জন্য শূন্য এক নয় দুই দুই ছয় পাঁচ সাত দুই দুই আট ডায়াল করুন
audios/sample187.wav,আপনার বর্তমান ব্যালেন্স বারো হাজার পাঁচশো টাকা
audios/sample188.wav,বিদ্যুৎ বিল পঞ্চাশ হাজার টাকা পরিশোধ করেছি
audios/sample189.wav,মোট বকেয়া সাতশো পঞ্চাশ টাকা
audios/sample190.wav,"কার্ড নাম্বার হলো দুই এক পাঁচ পাঁচ, শূন্য পাঁচ ছয় আট, আট শূন্য পাঁচ তিন, আট পাঁচ দুই তিন"
audios/sample191.wav,"কার্ড নাম্বার হলো পাঁচ চার শূন্য এক, পাঁচ নয় পাঁচ দুই, নয় পাঁচ দুই তিন, শূন্য শূন্য পাঁচ শূন্য"
audios/sample192.wav,"কার্ড নাম্বার হলো ছয় আট পাঁচ দুই, তিন দুই ছয় তিন, পাঁচ এক চার এক, এক সাত আট দুই"
audios/sample193.wav,আপনার বিল নাম্বার শূন্য দুই পাঁচ পাঁচ সাত আট
audios/sample194.wav,মোবাইল নাম্বার শূন্য এক নয় পাঁচ শূন্য নয় দুই চার চার পাঁচ সাত রিচার্জ করুন
audios/sample195.wav,মোবাইল নাম্বার শূন্য এক ছয় চার চার পাঁচ পাঁচ সাত এক সাত ছয় রিচার্জ করুন
audios/sample196.wav,আপনার বর্তমান ব্যালেন্স দুই হাজার টাকা
audios/sample197.wav,মোবাইল নাম্বার শূন্য এক ছয় চার চার শূন্য নয় আট নয় পাঁচ আট রিচার্জ করুন
audios/sample198.wav,বিদ্যুৎ বিল বিশ হাজার টাকা পরিশোধ করেছি
audios/sample199.wav,আপনার অনুরোধটি রাখা হয়েছে
audios/sample200.wav,আমার ফোন নাম্বার শূন্য এক তিন আট আট আট আট পাঁচ ছয় নয় আট
